,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Colombia,0.018518518518518517,0.018518518518518517,0.0,0.019230769230769232,0.0,0.0,0.0,0.017857142857142856,0.0,0.016666666666666666,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.017857142857142856,0.018518518518518517,0.016129032258064516,0.019230769230769232,0.0,0.018518518518518517,0.019230769230769232,0.01639344262295082,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.016666666666666666,0.014084507042253521,0.018867924528301886,0.0,0.0,0.018867924528301886,0.015873015873015872,0.018867924528301886,0.0,0.0,0.017543859649122806,0.0,0.01694915254237288,0.0,0.0,0.017857142857142856,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.016666666666666666,0.017857142857142856,0.0
Brazil,0.017543859649122806,0.017543859649122806,0.0,0.01818181818181818,0.0,0.03125,0.03125,0.01694915254237288,0.0,0.015873015873015872,0.0,0.0,0.016666666666666666,0.0,0.0,0.022222222222222223,0.01694915254237288,0.017543859649122806,0.015384615384615385,0.01818181818181818,0.0,0.017543859649122806,0.01818181818181818,0.015625,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.015873015873015872,0.013513513513513514,0.017857142857142856,0.0,0.0,0.017857142857142856,0.015151515151515152,0.017857142857142856,0.0,0.0,0.016666666666666666,0.0,0.016129032258064516,0.0,0.017857142857142856,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.015873015873015872,0.01694915254237288,0.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,0.018518518518518517,0.018518518518518517,0.0,0.019230769230769232,0.0,0.0,0.0,0.017857142857142856,0.0,0.016666666666666666,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.017857142857142856,0.018518518518518517,0.016129032258064516,0.019230769230769232,0.0,0.018518518518518517,0.019230769230769232,0.01639344262295082,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.016666666666666666,0.014084507042253521,0.018867924528301886,0.0,0.0,0.018867924528301886,0.015873015873015872,0.018867924528301886,0.0,0.0,0.017543859649122806,0.0,0.01694915254237288,0.0,0.018867924528301886,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.017857142857142856,0.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.01639344262295082,0.01639344262295082,0.027777777777777776,0.01694915254237288,0.0,0.0,0.0,0.015873015873015872,0.0,0.014925373134328358,0.0,0.0,0.015625,0.027777777777777776,0.0,0.02040816326530612,0.015873015873015872,0.01639344262295082,0.014492753623188406,0.01694915254237288,0.0,0.01639344262295082,0.01694915254237288,0.014705882352941176,0.01694915254237288,0.0,0.0,0.0,0.01694915254237288,0.014925373134328358,0.01282051282051282,0.016666666666666666,0.0,0.0,0.016666666666666666,0.014285714285714285,0.016666666666666666,0.024390243902439025,0.0,0.015625,0.025,0.015151515151515152,0.02857142857142857,0.016666666666666666,0.015873015873015872,0.027777777777777776,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0
New Zealand,0.017543859649122806,0.017543859649122806,0.0,0.01818181818181818,0.0,0.0,0.0,0.01694915254237288,0.0,0.015873015873015872,0.0,0.0,0.016666666666666666,0.0,0.0,0.022222222222222223,0.01694915254237288,0.017543859649122806,0.015384615384615385,0.01818181818181818,0.0,0.017543859649122806,0.01818181818181818,0.015625,0.01818181818181818,0.0,0.02564102564102564,0.0,0.01818181818181818,0.015873015873015872,0.013513513513513514,0.017857142857142856,0.02857142857142857,0.0,0.017857142857142856,0.015151515151515152,0.017857142857142856,0.0,0.0,0.016666666666666666,0.0,0.016129032258064516,0.0,0.017857142857142856,0.01694915254237288,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
